Factor,feature,Portion,Design,n_simulation,N
X1,X1,0.0633901840681031,Definitive Screening Design,87,17
X2,X2,0.6164424631955671,Definitive Screening Design,87,17
X3 (non-informative),X3,0.13500743740989585,Definitive Screening Design,87,17
Random Normal,Random Normal,0.18515991532643397,Definitive Screening Design,87,17
X1,X1,0.06258343058178295,Definitive Screening Design,88,17
X2,X2,0.5426484716835134,Definitive Screening Design,88,17
X3 (non-informative),X3,0.1541515147641136,Definitive Screening Design,88,17
Random Normal,Random Normal,0.24061658297059021,Definitive Screening Design,88,17
X1,X1,0.05561538528299675,Definitive Screening Design,89,17
X2,X2,0.6657534599707853,Definitive Screening Design,89,17
X3 (non-informative),X3,0.08884502638699675,Definitive Screening Design,89,17
Random Normal,Random Normal,0.18978612835922126,Definitive Screening Design,89,17
X1,X1,0.06426246894109597,Definitive Screening Design,90,17
X2,X2,0.5561623108704137,Definitive Screening Design,90,17
X3 (non-informative),X3,0.1165266820301154,Definitive Screening Design,90,17
Random Normal,Random Normal,0.26304853815837503,Definitive Screening Design,90,17
X1,X1,0.0499970805507967,Definitive Screening Design,91,17
X2,X2,0.6084299963288873,Definitive Screening Design,91,17
X3 (non-informative),X3,0.08659789370632438,Definitive Screening Design,91,17
Random Normal,Random Normal,0.2549750294139917,Definitive Screening Design,91,17
X1,X1,0.07597322275444747,Definitive Screening Design,92,17
X2,X2,0.7273583954256843,Definitive Screening Design,92,17
X3 (non-informative),X3,0.1236135076095372,Definitive Screening Design,92,17
Random Normal,Random Normal,0.07305487421033108,Definitive Screening Design,92,17
X1,X1,0.0827785399030291,Definitive Screening Design,93,17
X2,X2,0.6719001169768056,Definitive Screening Design,93,17
X3 (non-informative),X3,0.1452962107460252,Definitive Screening Design,93,17
Random Normal,Random Normal,0.1000251323741401,Definitive Screening Design,93,17
X1,X1,0.047183721424200284,Definitive Screening Design,94,17
X2,X2,0.6763716768592767,Definitive Screening Design,94,17
X3 (non-informative),X3,0.0881871499058507,Definitive Screening Design,94,17
Random Normal,Random Normal,0.1882574518106723,Definitive Screening Design,94,17
X1,X1,0.09925534607448704,Definitive Screening Design,95,17
X2,X2,0.593990117708923,Definitive Screening Design,95,17
X3 (non-informative),X3,0.08259899753289773,Definitive Screening Design,95,17
Random Normal,Random Normal,0.22415553868369226,Definitive Screening Design,95,17
X1,X1,0.11673222422043328,Definitive Screening Design,96,17
X2,X2,0.6243571849706522,Definitive Screening Design,96,17
X3 (non-informative),X3,0.11129300657807235,Definitive Screening Design,96,17
Random Normal,Random Normal,0.14761758423084217,Definitive Screening Design,96,17
X1,X1,0.055892962860327515,Definitive Screening Design,97,17
X2,X2,0.624629352184694,Definitive Screening Design,97,17
X3 (non-informative),X3,0.10190840819771729,Definitive Screening Design,97,17
Random Normal,Random Normal,0.21756927675726118,Definitive Screening Design,97,17
X1,X1,0.03750107991924132,Definitive Screening Design,98,17
X2,X2,0.57029654450516,Definitive Screening Design,98,17
X3 (non-informative),X3,0.06812883831353421,Definitive Screening Design,98,17
